Stock,Model,Hypothesis,Regime,MAE,RMSE,R2,Direction_Accuracy
HILS,SVR,H1,Overall,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,SVR,H1,HighVol,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,RF,H1,Overall,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,RF,H1,HighVol,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,LSTM_MLP,H1,Overall,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
HILS,LSTM_MLP,H1,HighVol,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
NRR,SVR,H1,Overall,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,SVR,H1,HighVol,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,RF,H1,Overall,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,RF,H1,HighVol,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,LSTM_MLP,H1,Overall,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
NRR,LSTM_MLP,H1,HighVol,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
TLW,SVR,H1,Overall,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,SVR,H1,HighVol,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,RF,H1,Overall,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,RF,H1,HighVol,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,LSTM_MLP,H1,Overall,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TLW,LSTM_MLP,H1,HighVol,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TTG,SVR,H1,Overall,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,SVR,H1,HighVol,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,RF,H1,Overall,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,RF,H1,HighVol,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,LSTM_MLP,H1,Overall,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
TTG,LSTM_MLP,H1,HighVol,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
VID,SVR,H1,Overall,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,SVR,H1,HighVol,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,RF,H1,Overall,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
VID,RF,H1,HighVol,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
VID,LSTM_MLP,H1,Overall,0.17911359324179082,0.22309636167327038,-6.602823440725051,0.527927927927928
VID,LSTM_MLP,H1,HighVol,0.17911359324179082,0.22309636167327038,-6.602823440725051,0.527927927927928
AZN,SVR,H1,Overall,0.031091991176203513,0.04065833447252121,-0.7070172551326965,0.5477477477477477
AZN,SVR,H1,HighVol,0.031091991176203513,0.04065833447252121,-0.7070172551326965,0.5477477477477477
AZN,RF,H1,Overall,0.0276763564008841,0.03656615548566456,-0.3806937086487121,0.5099099099099099
AZN,RF,H1,HighVol,0.0276763564008841,0.03656615548566456,-0.3806937086487121,0.5099099099099099
AZN,LSTM_MLP,H1,Overall,0.04950334788303547,0.07046778493327678,-4.1276690016643816,0.5063063063063064
AZN,LSTM_MLP,H1,HighVol,0.04950334788303547,0.07046778493327678,-4.1276690016643816,0.5063063063063064
SPX,SVR,H1,Overall,0.032600481548987204,0.0411467907021875,-0.2680620861083154,0.5459459459459459
SPX,SVR,H1,HighVol,0.032600481548987204,0.0411467907021875,-0.2680620861083154,0.5459459459459459
SPX,RF,H1,Overall,0.03129783703200154,0.038853741337292205,-0.13066584155401584,0.47387387387387386
SPX,RF,H1,HighVol,0.03129783703200154,0.038853741337292205,-0.13066584155401584,0.47387387387387386
