Stock,FeatureSet,FeatureCount,Hypothesis,MAE,RMSE,R2,Direction_Accuracy
HILS,Price_Only,5,H2,0.03393521305903511,0.04423212717727366,-0.7703530961567353,0.5027027027027027
HILS,Price_Tech,13,H2,0.03646687281149448,0.045202859424259126,-0.848911227913066,0.5063063063063064
HILS,Full_Features,17,H2,0.04012475318681922,0.05103342395358202,-1.3566422415423047,0.5027027027027027
NRR,Price_Only,5,H2,0.02907650848839618,0.03609878807670287,-0.1756532138065321,0.4540540540540541
NRR,Price_Tech,13,H2,0.03139921389456122,0.04024977946207151,-0.46157465022272737,0.4972972972972973
NRR,Full_Features,17,H2,0.03745545022417519,0.048041678981187254,-1.0822378926951006,0.5477477477477477
TLW,Price_Only,5,H2,0.06830857303931462,0.0843899458400193,-0.537744614087942,0.4774774774774775
TLW,Price_Tech,13,H2,0.06620562347287573,0.08361452308573587,-0.5096151036811447,0.4774774774774775
TLW,Full_Features,17,H2,0.06558699945712962,0.08337290670694919,-0.5009032023190112,0.4486486486486487
TTG,Price_Only,5,H2,0.050911468989338016,0.07965944016137841,-0.15269807601433016,0.45045045045045046
TTG,Price_Tech,13,H2,0.05370289549140414,0.08039301038367005,-0.17402582841161274,0.4864864864864865
TTG,Full_Features,17,H2,0.07828943518874323,0.11116505061485019,-1.2447997668957616,0.45225225225225224
VID,Price_Only,5,H2,0.05459291107454317,0.0888362776239035,-0.20550949366517024,0.42702702702702705
VID,Price_Tech,13,H2,0.06569877408675803,0.09873555422536077,-0.489145269404758,0.4720720720720721
VID,Full_Features,17,H2,0.10254691395983484,0.1286331210343959,-1.5275254878247946,0.3675675675675676
AZN,Price_Only,5,H2,0.031431220103251556,0.039002379005748794,-0.5708001684259623,0.527927927927928
AZN,Price_Tech,13,H2,0.028125719719597098,0.036421831350409654,-0.36981620865422316,0.5261261261261261
AZN,Full_Features,17,H2,0.02867197600179432,0.03758138328492821,-0.45842555502199733,0.4972972972972973
SPX,Price_Only,5,H2,0.030777598582918887,0.03913544470040246,-0.14712073226830613,0.4972972972972973
SPX,Price_Tech,13,H2,0.03247551298808716,0.040839007157707566,-0.2491624863582933,0.43423423423423424
