Stock,Model,Horizon_H,Horizon_Type,Hypothesis,Regime,MAE,RMSE,R2,Direction_Accuracy
HILS,SVR,5,short,H4,Overall,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,SVR,5,short,H4,HighVol,0.06937727095684457,0.08779231381670044,-5.974245551746104,0.45585585585585586
HILS,RF,5,short,H4,Overall,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,RF,5,short,H4,HighVol,0.0386313988483698,0.04955621676878178,-1.2221866363391847,0.5009009009009009
HILS,LSTM_MLP,5,short,H4,Overall,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
HILS,LSTM_MLP,5,short,H4,HighVol,0.04788970913117646,0.06095247378182858,-2.3617616321441113,0.4828828828828829
HILS,SVR,10,short,H4,Overall,0.11597723374701775,0.15438886793256307,-10.318640762796381,0.4548736462093863
HILS,SVR,10,short,H4,HighVol,0.11597723374701775,0.15438886793256307,-10.318640762796381,0.4548736462093863
HILS,RF,10,short,H4,Overall,0.05009998107182295,0.0644974602571058,-0.9753658342372404,0.5072202166064982
HILS,RF,10,short,H4,HighVol,0.05009998107182295,0.0644974602571058,-0.9753658342372404,0.5072202166064982
HILS,LSTM_MLP,10,short,H4,Overall,0.07146096605528472,0.08640300493373819,-2.5450307298495622,0.47653429602888087
HILS,LSTM_MLP,10,short,H4,HighVol,0.07146096605528472,0.08640300493373819,-2.5450307298495622,0.47653429602888087
HILS,SVR,30,medium,H4,Overall,0.18139270901507953,0.23824512343128382,-11.196579055578061,0.4618181818181818
HILS,SVR,30,medium,H4,HighVol,0.18139270901507953,0.23824512343128382,-11.196579055578061,0.4618181818181818
HILS,RF,30,medium,H4,Overall,0.06403166330655598,0.0810996358159691,-0.41327866608191743,0.5145454545454545
HILS,RF,30,medium,H4,HighVol,0.06403166330655598,0.0810996358159691,-0.41327866608191743,0.5145454545454545
HILS,LSTM_MLP,30,medium,H4,Overall,0.11535556073042513,0.1387555719008303,-3.137050847788289,0.4381818181818182
HILS,LSTM_MLP,30,medium,H4,HighVol,0.11535556073042513,0.1387555719008303,-3.137050847788289,0.4381818181818182
HILS,SVR,60,long,H4,Overall,0.2536404570045953,0.314819551557598,-12.704493776584677,0.3915441176470588
HILS,SVR,60,long,H4,HighVol,0.2536404570045953,0.314819551557598,-12.704493776584677,0.3915441176470588
HILS,RF,60,long,H4,Overall,0.1740256491870363,0.20280774289919554,-4.687333157478542,0.38235294117647056
HILS,RF,60,long,H4,HighVol,0.1740256491870363,0.20280774289919554,-4.687333157478542,0.38235294117647056
HILS,LSTM_MLP,60,long,H4,Overall,0.19864095648990943,0.22489084024228198,-5.99331579875555,0.36213235294117646
HILS,LSTM_MLP,60,long,H4,HighVol,0.19864095648990943,0.22489084024228198,-5.99331579875555,0.36213235294117646
NRR,SVR,5,short,H4,Overall,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,SVR,5,short,H4,HighVol,0.04241525733879807,0.05382464290101978,-1.6137034197080173,0.5117117117117117
NRR,RF,5,short,H4,Overall,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,RF,5,short,H4,HighVol,0.03236109903696666,0.04271972763854126,-0.6464590820340033,0.5063063063063064
NRR,LSTM_MLP,5,short,H4,Overall,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
NRR,LSTM_MLP,5,short,H4,HighVol,0.04386968400984773,0.05523790497107451,-1.7527602527370618,0.5027027027027027
NRR,SVR,10,short,H4,Overall,0.0550067742452914,0.06616373043139229,-1.1868328716906746,0.5216606498194946
NRR,SVR,10,short,H4,HighVol,0.0550067742452914,0.06616373043139229,-1.1868328716906746,0.5216606498194946
NRR,RF,10,short,H4,Overall,0.04896705300983712,0.06250375087888388,-0.9515864180763371,0.6028880866425993
NRR,RF,10,short,H4,HighVol,0.04896705300983712,0.06250375087888388,-0.9515864180763371,0.6028880866425993
NRR,LSTM_MLP,10,short,H4,Overall,0.05681414386408547,0.0727854395287991,-1.6464557950472276,0.5252707581227437
NRR,LSTM_MLP,10,short,H4,HighVol,0.05681414386408547,0.0727854395287991,-1.6464557950472276,0.5252707581227437
NRR,SVR,30,medium,H4,Overall,0.10668211863394994,0.1274186166088508,-2.073541296146788,0.5909090909090909
NRR,SVR,30,medium,H4,HighVol,0.10668211863394994,0.1274186166088508,-2.073541296146788,0.5909090909090909
NRR,RF,30,medium,H4,Overall,0.14044206983816088,0.20554824837954855,-6.998358054683289,0.5490909090909091
NRR,RF,30,medium,H4,HighVol,0.14044206983816088,0.20554824837954855,-6.998358054683289,0.5490909090909091
NRR,LSTM_MLP,30,medium,H4,Overall,0.06339103883286487,0.08194910450065233,-0.27133998377880175,0.5690909090909091
NRR,LSTM_MLP,30,medium,H4,HighVol,0.06339103883286487,0.08194910450065233,-0.27133998377880175,0.5690909090909091
NRR,SVR,60,long,H4,Overall,0.11696243930114245,0.1385024463944021,-0.9363054020738419,0.6544117647058824
NRR,SVR,60,long,H4,HighVol,0.11696243930114245,0.1385024463944021,-0.9363054020738419,0.6544117647058824
NRR,RF,60,long,H4,Overall,0.12300932080252303,0.14136196919349006,-1.017084725917433,0.6084558823529411
NRR,RF,60,long,H4,HighVol,0.12300932080252303,0.14136196919349006,-1.017084725917433,0.6084558823529411
NRR,LSTM_MLP,60,long,H4,Overall,0.09351852998088826,0.11233302743994424,-0.2737197858795921,0.65625
NRR,LSTM_MLP,60,long,H4,HighVol,0.09351852998088826,0.11233302743994424,-0.2737197858795921,0.65625
TLW,SVR,5,short,H4,Overall,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,SVR,5,short,H4,HighVol,0.1443963060864518,0.18758101639916033,-6.597672473965862,0.4828828828828829
TLW,RF,5,short,H4,Overall,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,RF,5,short,H4,HighVol,0.060212535191815526,0.07693040435198462,-0.27790576251024457,0.46306306306306305
TLW,LSTM_MLP,5,short,H4,Overall,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TLW,LSTM_MLP,5,short,H4,HighVol,0.0643172163595222,0.0818130993391402,-0.4452683399023891,0.4972972972972973
TLW,SVR,10,short,H4,Overall,0.2273034871709955,0.29621310380281896,-9.163932678563482,0.4296028880866426
TLW,SVR,10,short,H4,HighVol,0.2273034871709955,0.29621310380281896,-9.163932678563482,0.4296028880866426
TLW,RF,10,short,H4,Overall,0.10311418222693841,0.13601056272732165,-1.1428833038772748,0.3592057761732852
TLW,RF,10,short,H4,HighVol,0.10311418222693841,0.13601056272732165,-1.1428833038772748,0.3592057761732852
TLW,LSTM_MLP,10,short,H4,Overall,0.13070335926968793,0.16114319658435855,-2.007995589140221,0.4296028880866426
TLW,LSTM_MLP,10,short,H4,HighVol,0.13070335926968793,0.16114319658435855,-2.007995589140221,0.4296028880866426
TLW,SVR,30,medium,H4,Overall,0.4511998287202287,0.5502732394205531,-13.53410050350516,0.35818181818181816
TLW,SVR,30,medium,H4,HighVol,0.4511998287202287,0.5502732394205531,-13.53410050350516,0.35818181818181816
TLW,RF,30,medium,H4,Overall,0.22404191839059004,0.25603169808857074,-2.1464355936121486,0.34363636363636363
TLW,RF,30,medium,H4,HighVol,0.22404191839059004,0.25603169808857074,-2.1464355936121486,0.34363636363636363
TLW,LSTM_MLP,30,medium,H4,Overall,0.35287820386782726,0.4148797895141247,-7.261823852207261,0.3472727272727273
TLW,LSTM_MLP,30,medium,H4,HighVol,0.35287820386782726,0.4148797895141247,-7.261823852207261,0.3472727272727273
TLW,SVR,60,long,H4,Overall,0.7512937524402353,0.8903834756303596,-19.16595302818088,0.38235294117647056
TLW,SVR,60,long,H4,HighVol,0.7512937524402353,0.8903834756303596,-19.16595302818088,0.38235294117647056
TLW,RF,60,long,H4,Overall,0.4161217515733369,0.46533557931882324,-4.508040029627249,0.34191176470588236
TLW,RF,60,long,H4,HighVol,0.4161217515733369,0.46533557931882324,-4.508040029627249,0.34191176470588236
TLW,LSTM_MLP,60,long,H4,Overall,0.7488365589566479,0.8709428231210834,-18.29495890320755,0.3713235294117647
TLW,LSTM_MLP,60,long,H4,HighVol,0.7488365589566479,0.8709428231210834,-18.29495890320755,0.3713235294117647
TTG,SVR,5,short,H4,Overall,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,SVR,5,short,H4,HighVol,0.08511565200985767,0.11989039918591418,-1.6110180908194147,0.44684684684684683
TTG,RF,5,short,H4,Overall,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,RF,5,short,H4,HighVol,0.07126173190405011,0.10337575321802461,-0.9412364723438011,0.46846846846846846
TTG,LSTM_MLP,5,short,H4,Overall,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
